INDICADOR DO CAFÉ ROBUSTA CEPEA/ESALQ,,
,,
Fonte: Cepea,,
Data,À vista R$,À vista US$
27/08/2002,"73,15","23,33"
28/08/2002,"75,58","24,22"
29/08/2002,"75,72","24,63"
30/08/2002,"75,59","25,11"
02/09/2002,"76,84","25,09"
03/09/2002,"78,51","25,32"
04/09/2002,"84,48","27,12"
05/09/2002,"85,04","26,98"
06/09/2002,"86,25","27,3"
09/09/2002,"91,5","29,48"
10/09/2002,"91,48","29,15"
11/09/2002,"93,48","30,1"
12/09/2002,"96,16","30,76"
13/09/2002,"96,54","30,55"
16/09/2002,"99,29","30,87"
17/09/2002,"100,85","31,03"
18/09/2002,"98,8","29,45"
19/09/2002,"94,96","27,52"
20/09/2002,"93,41","27,43"
23/09/2002,"94,98","26,57"
24/09/2002,"98,93","26,17"
25/09/2002,"103,31","28,19"
26/09/2002,"105,06","27,94"
27/09/2002,"106,14","27,39"
30/09/2002,"106,41","28,3"
01/10/2002,"108,39","30,02"
02/10/2002,"105,83","28,92"
03/10/2002,"107,9","29,2"
04/10/2002,"103,13","28,49"
07/10/2002,"100,63","26,94"
08/10/2002,"105,89","28,43"
09/10/2002,"108,18","27,92"
10/10/2002,"110,9","27,79"
11/10/2002,"111,23","29,12"
14/10/2002,"113,73","29,54"
15/10/2002,"123,17","31,99"
16/10/2002,"119,18","30,4"
17/10/2002,"117,95","30,2"
18/10/2002,"116,1","29,96"
21/10/2002,"119,21","30,45"
22/10/2002,"122,53","31,34"
23/10/2002,"120,7","30,83"
24/10/2002,"123,76","32,57"
25/10/2002,"123,69","33,16"
28/10/2002,"118,89","31,45"
29/10/2002,"117,7","30,73"
30/10/2002,"117,97","31,75"
31/10/2002,"118,67","32,69"
01/11/2002,"116,31","32,31"
04/11/2002,"116,51","32,91"
05/11/2002,"119,32","33,85"
06/11/2002,"121,05","33,12"
07/11/2002,"127,44","35,4"
08/11/2002,"127,14","35,81"
11/11/2002,"125,46","35,69"
12/11/2002,"123,76","34,28"
13/11/2002,"129,54","35,69"
14/11/2002,"132,76","36,03"
18/11/2002,"141,07","39,63"
19/11/2002,"140,02","39,39"
20/11/2002,"144,29","41,05"
21/11/2002,"142,54","40,44"
22/11/2002,"147,44","41,42"
25/11/2002,"146,12","41,28"
26/11/2002,"147,41","40,83"
27/11/2002,"149,19","41,56"
28/11/2002,"149,26","41,35"
29/11/2002,"151,12","41,29"
02/12/2002,"151,56","41,77"
03/12/2002,"152,62","41,36"
04/12/2002,"152,12","40,84"
05/12/2002,"153,7","40,77"
06/12/2002,"153,17","40,85"
09/12/2002,"149,88","39,6"
10/12/2002,"153,54","40,35"
11/12/2002,"149,9","39,66"
12/12/2002,"140,57","37,14"
13/12/2002,"139,55","37,41"
16/12/2002,"139,12","38,64"
17/12/2002,"142,08","39,74"
18/12/2002,"145,76","41,41"
19/12/2002,"146,19","41,95"
20/12/2002,"144,83","41,5"
23/12/2002,"145,9","41,57"
26/12/2002,"143,29","40,14"
27/12/2002,"143,76","40,61"
30/12/2002,"142,91","40,26"
02/01/2003,"146,32","41,45"
03/01/2003,"147,56","42,83"
06/01/2003,"145,25","43,36"
07/01/2003,"147,85","44,8"
08/01/2003,"145,99","43,97"
09/01/2003,"144,92","43,72"
10/01/2003,"145,75","44,23"
13/01/2003,"143,83","43,45"
14/01/2003,"143,96","44,16"
15/01/2003,"142,44","42,8"
16/01/2003,"142,52","43,06"
17/01/2003,"145,02","42,97"
20/01/2003,"147,75","43,38"
21/01/2003,"149,66","43,01"
22/01/2003,"157,62","44,84"
23/01/2003,"161,04","45,62"
24/01/2003,"162,51","44,83"
27/01/2003,"162,77","44,97"
28/01/2003,"162,78","44,72"
29/01/2003,"163,6","45,38"
30/01/2003,"158,78","44,6"
31/01/2003,"161,41","45,86"
03/02/2003,"161,85","46,05"
04/02/2003,"160,85","45,06"
05/02/2003,"158,73","44,56"
06/02/2003,"160,54","44,69"
07/02/2003,"162,55","45,28"
10/02/2003,"160,94","44,89"
11/02/2003,"159,89","44,64"
12/02/2003,"158,45","43,95"
13/02/2003,"153,81","42,02"
14/02/2003,"152,7","41,66"
17/02/2003,"151,44","41,83"
18/02/2003,"147,6","41,11"
19/02/2003,"145,58","40,27"
20/02/2003,"148,48","41,07"
21/02/2003,"146,82","40,54"
24/02/2003,"139,91","39,02"
25/02/2003,"141,93","39,37"
26/02/2003,"140,51","39,23"
27/02/2003,"141,48","39,69"
28/02/2003,"139,63","39,11"
05/03/2003,"136,08","38,3"
06/03/2003,"136,05","38,87"
07/03/2003,"138,33","39,52"
10/03/2003,"138,9","39,44"
11/03/2003,"134,84","38,69"
12/03/2003,"133,71","38,53"
13/03/2003,"133,38","39,14"
14/03/2003,"131,25","38,21"
17/03/2003,"126,79","36,8"
18/03/2003,"125,7","36,49"
19/03/2003,"126,22","36,4"
20/03/2003,"129,47","37,2"
21/03/2003,"129,16","37,93"
24/03/2003,"126,2","37,12"
25/03/2003,"125,37","37,2"
26/03/2003,"124,51","36,78"
27/03/2003,"124,87","36,87"
28/03/2003,"127,12","37,8"
31/03/2003,"126,87","37,84"
01/04/2003,"129,67","39,13"
02/04/2003,"131,06","40,18"
03/04/2003,"133,79","41,1"
04/04/2003,"131,83","40,94"
07/04/2003,"131,59","41,75"
08/04/2003,"127,5","40,03"
09/04/2003,"127,57","39,93"
10/04/2003,"127,34","39,23"
11/04/2003,"126,14","39,36"
14/04/2003,"123,55","39,07"
15/04/2003,"124,01","40,26"
16/04/2003,"123,09","39,77"
17/04/2003,"123,98","40,92"
22/04/2003,"123,64","40,65"
23/04/2003,"123,67","41,22"
24/04/2003,"122,54","40,67"
25/04/2003,"122,07","40,6"
28/04/2003,"120,07","40,54"
29/04/2003,"117,65","40,4"
30/04/2003,"117,83","40,46"
02/05/2003,"117,05","39,48"
05/05/2003,"117,85","38,77"
06/05/2003,"119,44","39,48"
07/05/2003,"118,5","40,24"
08/05/2003,"117,47","40,3"
09/05/2003,"115,79","40,28"
12/05/2003,"115,4","40,28"
13/05/2003,"115,11","39,83"
14/05/2003,"114,12","39,46"
15/05/2003,"115,72","38,96"
16/05/2003,"116,6","39,59"
19/05/2003,"115,03","38,34"
20/05/2003,"116,11","38,17"
21/05/2003,"116,63","38,88"
22/05/2003,"117,1","39,27"
23/05/2003,"116,06","39,77"
26/05/2003,"115,65","38,2"
27/05/2003,"114,37","37,75"
28/05/2003,"114,62","38,05"
29/05/2003,"113,09","38,54"
30/05/2003,"111,88","37,67"
02/06/2003,"112,97","37,91"
03/06/2003,"112,76","38,29"
04/06/2003,"110,99","38,01"
05/06/2003,"109,1","38,12"
06/06/2003,"103,15","35,84"
09/06/2003,"104,02","36,32"
10/06/2003,"104,8","36,52"
11/06/2003,"105,25","36,89"
12/06/2003,"105,61","36,86"
13/06/2003,"104,39","36,76"
16/06/2003,"104,75","36,43"
17/06/2003,"104,82","36,59"
18/06/2003,"104,82","36,27"
20/06/2003,"102,98","35,63"
23/06/2003,"103,99","36,33"
24/06/2003,"104,8","36,52"
25/06/2003,"104,18","36,41"
26/06/2003,"105,45","36,36"
27/06/2003,"105,27","36,55"
30/06/2003,"106,16","37,35"
01/07/2003,"107,7","37,96"
02/07/2003,"110,68","39,31"
03/07/2003,"109,46","38,75"
04/07/2003,"107,28","37,77"
07/07/2003,"108,12","37,5"
08/07/2003,"110,5","38,51"
10/07/2003,"111,74","38,61"
11/07/2003,"111,92","38,67"
14/07/2003,"112,01","39,14"
15/07/2003,"113,9","39,89"
16/07/2003,"114,96","40,31"
17/07/2003,"117,73","41,02"
18/07/2003,"119,21","41,25"
21/07/2003,"115,96","40,28"
22/07/2003,"117,69","40,82"
23/07/2003,"118,32","40,86"
24/07/2003,"119,38","41,31"
25/07/2003,"122,08","42,21"
28/07/2003,"123,28","42,55"
29/07/2003,"129,39","44,04"
30/07/2003,"131,39","44,24"
31/07/2003,"131,57","44,38"
01/08/2003,"135,71","44,79"
04/08/2003,"136,49","44,46"
05/08/2003,"133,15","44,06"
06/08/2003,"134,38","44,03"
07/08/2003,"135,08","45,3"
08/08/2003,"133,94","44,84"
11/08/2003,"132,62","44,13"
12/08/2003,"134,2","44,29"
13/08/2003,"134,35","44,4"
14/08/2003,"132,39","43,98"
15/08/2003,"132,15","44,17"
18/08/2003,"131,67","43,86"
19/08/2003,"131,67","44,05"
20/08/2003,"130,61","43,61"
21/08/2003,"132,92","44,23"
22/08/2003,"132,87","44,51"
25/08/2003,"132,68","44,3"
26/08/2003,"133,24","44,59"
27/08/2003,"132,89","44,91"
28/08/2003,"132,12","44,67"
29/08/2003,132,"44,31"
01/09/2003,"131,34","43,99"
02/09/2003,"131,43","43,94"
03/09/2003,"129,79","43,82"
04/09/2003,"129,46","44,16"
05/09/2003,"130,81","45,01"
08/09/2003,"132,69","45,06"
09/09/2003,"133,46","45,66"
10/09/2003,"132,32","45,78"
11/09/2003,"134,03","45,98"
12/09/2003,"133,61","46,03"
15/09/2003,"129,96","45,1"
16/09/2003,"125,11","42,95"
17/09/2003,"124,63","42,83"
18/09/2003,"125,77","43,35"
19/09/2003,"125,59","43,26"
22/09/2003,"126,02","43,41"
23/09/2003,"126,94","43,43"
24/09/2003,"127,48","43,63"
25/09/2003,"128,88","43,84"
26/09/2003,"127,44","43,42"
29/09/2003,"127,37","43,5"
30/09/2003,"126,66","43,8"
01/10/2003,"127,82",44
02/10/2003,"126,92","43,89"
03/10/2003,"128,01","44,34"
06/10/2003,"125,46","43,8"
07/10/2003,"125,89","44,02"
08/10/2003,"123,77","43,46"
09/10/2003,"122,1","43,1"
10/10/2003,"123,06","43,45"
13/10/2003,"121,23","42,73"
14/10/2003,"121,1","42,79"
15/10/2003,"121,07","42,64"
16/10/2003,"120,94","42,43"
17/10/2003,"123,54","43,06"
20/10/2003,"123,52","42,95"
21/10/2003,"124,65","43,63"
22/10/2003,"125,12","43,69"
23/10/2003,"125,93","43,95"
24/10/2003,"126,37","44,02"
27/10/2003,"126,91","44,22"
28/10/2003,"129,82","45,39"
29/10/2003,"127,56","44,84"
30/10/2003,"128,35","45,05"
31/10/2003,"126,82","44,22"
03/11/2003,"126,16","44,27"
04/11/2003,"126,61","44,25"
05/11/2003,"127,5","44,54"
06/11/2003,"127,18","44,21"
07/11/2003,"127,15","44,32"
10/11/2003,"127,15","44,04"
11/11/2003,"127,08","43,71"
12/11/2003,"127,54","43,94"
13/11/2003,"127,95","43,52"
14/11/2003,"128,31","43,49"
17/11/2003,"128,05","43,67"
18/11/2003,"127,19","43,22"
19/11/2003,"127,16","43,19"
20/11/2003,"126,83","43,09"
21/11/2003,"126,4","43,26"
24/11/2003,"126,65","43,36"
25/11/2003,"126,79","43,17"
26/11/2003,"127,44","43,23"
27/11/2003,"128,13","43,52"
28/11/2003,"128,39","43,57"
01/12/2003,"128,97","44,08"
02/12/2003,"130,2","44,41"
03/12/2003,"131,68","44,91"
04/12/2003,"129,06","43,82"
05/12/2003,"129,56","44,14"
08/12/2003,"132,8","45,14"
09/12/2003,"131,23","44,71"
10/12/2003,"134,07","45,55"
11/12/2003,"132,89","45,23"
12/12/2003,"133,49","45,43"
15/12/2003,"130,27","44,6"
16/12/2003,"132,31","45,05"
17/12/2003,"134,62","45,93"
18/12/2003,"133,1","45,38"
19/12/2003,"132,81","45,42"
22/12/2003,"133,05","45,57"
23/12/2003,"132,71","45,62"
26/12/2003,"130,18","44,88"
29/12/2003,"130,64","45,65"
30/12/2003,"130,12","44,82"
02/01/2004,"129,87","45,11"
05/01/2004,"130,71","45,8"
06/01/2004,"133,12","46,42"
07/01/2004,"132,92","46,51"
08/01/2004,"133,23","46,7"
09/01/2004,"134,05","47,32"
12/01/2004,"135,64","48,65"
13/01/2004,"137,31","48,93"
14/01/2004,"136,5","48,44"
15/01/2004,"136,22","48,39"
16/01/2004,"137,58","48,63"
19/01/2004,"140,05","49,31"
20/01/2004,"143,19","50,46"
21/01/2004,"147,46","51,83"
22/01/2004,"145,82","51,36"
23/01/2004,"146,37","51,54"
26/01/2004,"151,6","53,29"
27/01/2004,"148,77","51,84"
28/01/2004,"147,6","50,97"
29/01/2004,"146,24","49,89"
30/01/2004,"141,7","48,33"
02/02/2004,"143,28","48,67"
03/02/2004,"142,88","48,96"
04/02/2004,"139,11","47,66"
05/02/2004,"136,89","46,69"
06/02/2004,"135,04","46,03"
09/02/2004,"134,48","45,98"
10/02/2004,"134,12","45,91"
11/02/2004,"134,41","46,24"
12/02/2004,"134,29","46,37"
13/02/2004,"134,17","46,17"
16/02/2004,"133,62","45,95"
17/02/2004,"132,3","45,33"
18/02/2004,"130,27","44,3"
19/02/2004,"128,01","43,25"
20/02/2004,"128,08","43,27"
25/02/2004,"128,48","43,68"
26/02/2004,"127,79","43,56"
27/02/2004,"128,67","44,28"
01/03/2004,"129,04","44,56"
02/03/2004,"128,09","44,29"
03/03/2004,"126,38","43,76"
04/03/2004,"125,38","43,38"
05/03/2004,"125,1","43,61"
08/03/2004,"125,36","43,59"
09/03/2004,"125,63","43,61"
10/03/2004,"124,92","43,08"
11/03/2004,"124,84","42,92"
12/03/2004,"125,51","43,27"
15/03/2004,"125,1","43,06"
16/03/2004,"126,34","43,61"
17/03/2004,"124,95","42,91"
18/03/2004,"124,57","42,84"
19/03/2004,"124,28","42,82"
22/03/2004,"123,98","42,56"
23/03/2004,"123,56","42,39"
24/03/2004,"123,49","42,15"
25/03/2004,"121,23","41,28"
26/03/2004,"121,54","41,35"
29/03/2004,"121,39","41,29"
30/03/2004,"120,56","41,44"
31/03/2004,"121,57","41,98"
01/04/2004,"121,77","42,13"
02/04/2004,"123,29","42,59"
05/04/2004,"121,93","42,39"
06/04/2004,"121,39","42,21"
07/04/2004,"121,6","42,36"
08/04/2004,"121,96","42,27"
12/04/2004,"121,75","42,24"
13/04/2004,"121,71","42,07"
14/04/2004,"120,94","41,89"
15/04/2004,"121,27","41,82"
16/04/2004,"122,26","42,03"
19/04/2004,"122,6","42,18"
20/04/2004,"122,5","41,84"
22/04/2004,"121,22","41,4"
