index,data,estacao_ano,valor,valor_bimestre,valor_semestre,janela_bimestre
384,2012_12,4,334.27,681.97,2279.01,681.97
385,2013_1,1,331.71,331.71,331.71,665.98
386,2013_2,1,308.16,639.87,639.87,639.87
387,2013_3,1,301.2,301.2,941.0699999999999,609.36
388,2013_4,2,298.63,599.8299999999999,1239.6999999999998,599.8299999999999
389,2013_5,2,304.76,304.76,1544.4599999999998,603.39
390,2013_6,2,284.48,589.24,1828.9399999999998,589.24
391,2013_7,3,297.33,297.33,297.33,581.81
392,2013_8,3,291.48,588.81,588.81,588.81
393,2013_9,3,278.38,278.38,867.1899999999999,569.86
394,2013_10,4,248.45,526.8299999999999,1115.6399999999999,526.8299999999999
395,2013_11,4,234.43,234.43,1350.07,482.88
396,2013_12,4,252.69,487.12,1602.76,487.12
397,2014_1,1,275.47,275.47,275.47,528.1600000000001
398,2014_2,1,341.37,616.84,616.84,616.84
399,2014_3,1,432.91,432.91,1049.75,774.28
400,2014_4,2,430.91,863.82,1480.66,863.82
401,2014_5,2,403.69,403.69,1884.3500000000001,834.6
402,2014_6,2,384.6,788.29,2268.9500000000003,788.29
403,2014_7,3,377.02,377.02,377.02,761.62
404,2014_8,3,398.44,775.46,775.46,775.46
405,2014_9,3,395.12,395.12,1170.58,793.56
406,2014_10,4,456.66,851.78,1627.24,851.78
407,2014_11,4,466.14,466.14,2093.38,922.8
408,2014_12,4,467.3,933.44,2560.6800000000003,933.44
409,2015_1,1,469.08,469.08,469.08,936.38
410,2015_2,1,464.85,933.9300000000001,933.9300000000001,933.9300000000001
411,2015_3,1,472.13,472.13,1406.06,936.98
412,2015_4,2,456.69,928.8199999999999,1862.75,928.8199999999999
413,2015_5,2,441.52,441.52,2304.27,898.21
414,2015_6,2,470.26,911.78,2774.5299999999997,911.78
415,2015_7,3,440.97,440.97,440.97,911.23
416,2015_8,3,474.56,915.53,915.53,915.53
417,2015_9,3,466.21,466.21,1381.74,940.77
418,2015_10,4,472.95,939.16,1854.69,939.16
419,2015_11,4,443.5,443.5,2298.19,916.45
420,2015_12,4,474.02,917.52,2772.21,917.52
421,2016_1,1,491.71,491.71,491.71,965.73
422,2016_2,1,479.41,971.12,971.12,971.12
423,2016_3,1,500.51,500.51,1471.63,979.9200000000001
424,2016_4,2,479.0,979.51,1950.63,979.51
425,2016_5,2,478.52,478.52,2429.15,957.52
426,2016_6,2,494.52,973.04,2923.67,973.04
427,2016_7,3,510.03,510.03,510.03,1004.55
428,2016_8,3,503.8,1013.8299999999999,1013.8299999999999,1013.8299999999999
429,2016_9,3,505.52,505.52,1519.35,1009.3199999999999
430,2016_10,4,507.73,1013.25,2027.08,1013.25
